No,S,T,Typology,FAR,Env_R,E_R,total_inh,n_total,lca_total,solar_sc,solar_au
63,4,14,5,1.699608,2,1,1862,52.44956659,15.16783466,0.762808372,0.339028079
64,1,14,5,1.699608,2,1,1901,51.76056673,15.16088501,0.699591371,0.325730362
65,3,14,5,1.699608,2,1,2194,50.512094,15.20127987,0.569423999,0.297995087
66,4,13,4,3.461759,2,1,2933,48.56598311,15.37138293,0.742997887,0.320598155
67,3,13,4,3.461759,2,1,3320,48.10237424,15.44537474,0.591395592,0.282416332
68,4,12,4,2.200234,2,1,2196,50.74887928,14.90465162,0.657875116,0.354766279
69,3,12,4,2.200234,2,1,2566,49.66351869,14.98709537,0.503817678,0.306580086
70,4,11,4,2.711107,2,1,2462,49.35580094,16.22198001,0.75676388,0.312874163
71,3,11,4,2.711107,2,1,2832,50.52217104,16.46198625,0.671423226,0.28249353
72,4,10,3,3.098888,2,1,2688,47.68911273,14.39866309,0.677098685,0.331201214
73,3,10,3,3.098888,2,1,3106,48.9355225,14.59243488,0.564366692,0.293099988
74,4,9,3,2.406857,2,1,2240,53.24700599,14.8608685,0.729958338,0.334477836
75,3,9,3,2.406857,2,1,2688,51.89687762,14.8951865,0.584822514,0.306809233
76,4,8,3,1.911589,2,1,1994,53.21869072,14.97011843,0.744303949,0.341553916
77,1,8,3,1.911589,2,1,2068,51.34203114,14.8688666,0.659853644,0.328739951
78,3,8,3,1.911589,2,1,2381,51.5224415,15.011172,0.580146372,0.306174617
79,4,7,2,3.032621,2,1,2588,53.95937022,14.41922003,0.697407759,0.348778756
80,3,7,2,3.032621,2,1,3096,51.70553878,14.38455561,0.515989372,0.311746364
81,4,6,2,2.384204,2,1,2251,53.28378901,14.50222447,0.64793825,0.346481226
82,3,6,2,2.384204,2,1,2615,52.7699856,14.63488337,0.539695302,0.313381141
83,4,5,2,2.783806,2,1,2474,54.37261538,14.78657635,0.703094707,0.337719157
84,3,5,2,2.783806,2,1,2918,53.03715003,14.82221284,0.539784476,0.305073821
85,4,4,1,4.457837,2,1,3308,49.4518514,18.0442804,0.956541277,0.203363779
86,3,4,1,4.457837,2,1,3983,45.22676064,17.78004695,0.812527604,0.220321965
87,4,3,1,5.610568,2,1,4062,46.9445702,15.73496868,0.946506605,0.21368885
88,3,3,1,5.610568,2,1,4767,42.51416959,15.45944609,0.789163541,0.220041642
89,4,2,1,3.531471,2,1,2837,47.33320691,17.77845442,0.92875537,0.244120647
90,3,2,1,3.531471,2,1,3372,46.74698332,17.81614162,0.77575265,0.233271814
91,2,1,7,0,3,1,994,43.50964133,9.851764766,0.436038379,0.281925493
92,1,1,7,0,3,1,1003,48.20976441,9.662551687,0.666241054,0.335303095
93,4,19,6,1.981873,3,1,2056,47.15696258,12.37965121,0.841514097,0.314261297
94,3,19,6,1.981873,3,1,2452,42.31274954,12.15127662,0.558203123,0.273443306
95,4,18,6,0.815402,3,1,1385,47.02732981,11.30826981,0.627202222,0.364246014
96,1,18,6,0.815402,3,1,1440,48.85045621,11.48445954,0.621111995,0.349072545
97,3,18,6,0.815402,3,1,1611,47.21698475,11.58636466,0.507563044,0.322449273
98,2,18,6,0.815402,3,1,1430,43.68556555,11.47384745,0.417620887,0.300412221
99,4,17,6,1.377649,3,1,1689,46.59910286,12.10458441,0.700779744,0.345349179
100,1,17,6,1.377649,3,1,1728,48.45202354,12.32992618,0.69235116,0.324823549
101,3,17,6,1.377649,3,1,1966,45.88282506,12.26761033,0.564466709,0.307281222
102,4,16,5,2.969017,3,1,2649,44.00490796,12.37418221,0.74941565,0.321282702
103,3,16,5,2.969017,3,1,3091,43.71264909,12.4553492,0.587644069,0.283024645
104,4,15,5,1.471673,3,1,1752,47.12936278,12.02613814,0.704159853,0.345821739
105,1,15,5,1.471673,3,1,1792,44.75014865,11.89533591,0.6097688,0.328170901
106,3,15,5,1.471673,3,1,2081,45.41279186,12.10977722,0.547442613,0.306729422
107,2,15,5,1.471673,3,1,1788,41.98080234,11.98013665,0.465088863,0.291870931
108,4,14,5,1.699608,3,1,1862,46.70022861,12.25299821,0.762663502,0.338970186
109,1,14,5,1.699608,3,1,1901,45.98196662,12.23095477,0.699669502,0.3254026
110,3,14,5,1.699608,3,1,2194,44.74658548,12.28199129,0.570030501,0.297543857
111,4,13,4,3.461759,3,1,2933,44.70170163,13.43337507,0.741777406,0.320999803
